Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ващенко-Захарченко,Златослава,Лаврінівна,Жінка,1979.09.04,Реабілітолог,село Горохів,"вулиця Селищний, буд. 14, Червоносів, 72692",+380 70 787-25-84,orynapushkar@example.net
Кальченко,Веніямин,Захарович,Чоловік,1969.03.18,Ді-джей,хутір Тульчин,"сквер Водний, буд. 46, Рудки, 02709",+380 07 409-24-09,iruban@example.org
Ващенко,Демʼян,Семенівна,Чоловік,1978.02.13,Детектив,місто Інкерман,"узвіз Ямська, буд. 4, Валки , 41053",000 676-11-00,zlatoslavarubets@example.net
Вертипорох,Олекса,Всеславівна,Чоловік,1992.11.14,Музичний редактор,місто Буринь,"набережна Наявний 2-й, буд. 60, Снятин, 38351",097 160 75 71,vasylyna41@example.com
Лазаренко,Охрім,Євгенович,Чоловік,1957.06.02,Дерун,село Добропілля,"парк 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 28, Шостка, 90045",984 88 76,danyloazhazha@example.org
Гунько,Омелян,Лаврентіївна,Чоловік,1971.01.22,Інженер,хутір Ворожба,"сквер Моторний 3-й, буд. 6 кв. 3, Мар'їнка, 19973",+380 14 518-40-29,tereza11@example.com
Єфименко,Гаврило,Глібівна,Чоловік,2005.05.06,Ґрунтознавець,село Білгород-Дністровський,"провулок Чорноморський 3-й, буд. 11 кв. 0, Старий Самбір, 62373",480 47 70,mchervonenko@example.org
Акуленко,Данна,Філімонівна,Жінка,1959.02.10,Шериф,місто Вільнянськ,"площа Обільний 1-й, буд. 0, Бобринець, 49543",+380 (19) 357-56-71,bohdannaromanets@example.org
Ґерус,Марина,Антонович,Жінка,2003.08.03,Мистецтвознавець,село Вінниця,"вулиця Героїв прикордонників, буд. 04, Броди, 65007",025 230-15-31,hlibivanchenko@example.net
Піддубний,Святослава,Дмитрович,Жінка,1983.11.26,Диригент,село Світловодськ,"шосе Юхима Фесенка, буд. 01 кв. 9, Ічня, 11625",+380 15 057-09-45,liliia40@example.org
Мазепа,Лілія,Лаврентіївна,Жінка,2005.07.18,Історик,місто Гребінка,"шосе Проточний, буд. 68 кв. 4, Миколаївка , 35101",+380 29 053-50-96,abramchukanzhela@example.net
Аверченко,Миколай,Зосимівна,Чоловік,1985.10.12,Парфюмер,село Генічеськ,"сквер Армійська, буд. 310 кв. 435, Бахчисарай, 69953",111-03-76,vshelest@example.com
Закусило,Спас,Володиславівна,Чоловік,1965.05.06,М'ясник,хутір Тульчин,"проспект Міхновського Миколи, буд. 516 кв. 63, Овруч, 34008",+380 (06) 458-33-42,khrystynachumachenko@example.net
Матяш,Павло,Гаврилівна,Чоловік,1998.03.10,Різноробочий,хутір Рені,"провулок Мечникова, буд. 436 кв. 0, Шепетівка, 75377",+380 38 978-44-90,dakhnovenedykt@example.org
Іванченко,Владислав,Олесьович,Чоловік,1986.11.28,Письменник,селище Середина-Буда,"набережна Естафетна, буд. 0 кв. 57, Звенигородка, 86501",+380 66 462 40 53,isatsiuk@example.net
Захаренко,Мирослав,Семенівна,Чоловік,2002.07.21,Візажист,селище Підгородне,"проспект Донецька, буд. 352, Яремче, 66702",+380 12 721 69 32,iaremenkomarta@example.org
Фаренюк,Охрім,Анісіївна,Чоловік,1973.01.29,Бібліотекар,хутір Макіївка,"узвіз Улітіна, буд. 047, Гнівань, 94721",880-06-08,shovkopliasvasylyna@example.net
Заїка,Єва,Даніїлівна,Жінка,1987.11.19,Соціолог,селище Кальміуське,"парк Коблевська, буд. 022 кв. 7, Моспине, 25878",+380 54 138-24-58,stefankalchenko@example.net
Лагода,Альбіна,Іракліївна,Жінка,1960.04.22,Шериф,село Семенівка,"узвіз 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 359 кв. 07, Броди, 27220",869 42 46,havryletsspas@example.net
Бабʼяк,Тетяна,Ярославівна,Жінка,1967.12.12,Конструктор,селище Радомишль,"узвіз Державіна, буд. 688 кв. 4, Біляївка, 58853",+380 (48) 116-75-97,klymentdeineka@example.net
Талан,Амалія,Юхимович,Жінка,1987.01.08,Мікробіолог,селище Кривий Ріг,"проспект Михайла Божія, буд. 9, Ірпінь, 75787",603-93-03,yvakarchuk@example.org
Шелест,Назар,Юліанівна,Чоловік,1994.08.19,Патологоанатом,село Глиняни,"проспект Вапняна, буд. 89, Дружба , 10675",+380 20 471 91 07,ilytvynenko@example.org
Забашта,Борис,Філаретівна,Чоловік,1958.04.15,Ґрунтознавець,місто Ізюм,"проспект Ярморочна площа, буд. 8, Заводське, 74646",031 980-00-47,marynalutsenko@example.org
Андріїшин,Болеслав,Гаврилівна,Чоловік,1998.05.15,Круп'є,село Запоріжжя,"вулиця Першотравневий 2-й, буд. 930, Ананьїв, 28448",+380 (00) 673-09-56,kashchenkodan@example.org
Мірошниченко,Зорян,Іларіонівна,Чоловік,1966.12.12,Географ,хутір Севастополь,"узвіз Локомотивний 4-й, буд. 5, Дебальцеве, 21029",873-95-47,chervonenkoserhii@example.org
Александренко,Аарон,Маркелівна,Чоловік,1968.12.04,Програміст,хутір Білгород-Дністровський,"набережна Офіцерська, буд. 878 кв. 13, Ніжин, 37629",+380 10 184-06-41,onysym07@example.net
Артюх,Альберт,Несторович,Чоловік,2003.03.01,Головний меркшейдер,місто Вуглегірськ,"площа Мічманський 1-й, буд. 119 кв. 479, Берестечко, 01829",632 45 94,davydakymenko@example.com
Парасюк,Віолетта,Соломонівна,Жінка,1988.04.24,Професор,селище Люботин,"набережна Тимірязєва, буд. 70, Бунге , 15693",+380 45 983 39 27,bezborodkoavrelii@example.net
Артеменко,Михайлина,Валеріївна,Жінка,1975.09.21,Гірничий інженер,хутір Карлівка,"узвіз Палубна, буд. 9, Луганськ, 07195",+380 93 557 44 48,zaietsroksolana@example.com
Дейнека,Ліза,Никифорівна,Жінка,1979.02.28,Сантехнік,село Ржищів,"набережна Любашівський, буд. 3, Носівка, 13394",+380 (56) 561-99-39,liubovromanenko@example.org
Штепа,Ганна,Мстиславович,Жінка,2003.05.28,Хореограф,хутір Рудки,"парк Кримська, буд. 052, Радивилів, 96436",556-06-06,solomon16@example.net
Павлик,Валерій,Гордіївна,Чоловік,1985.03.27,Кінорежисер,місто Тернівка ,"провулок Дальня, буд. 16 кв. 84, Золотоноша, 23642",+380 85 103 64 02,bezditkooles@example.net
Михайлюк,Станіслав,Антонович,Чоловік,1980.03.15,Клоун,селище Гола Пристань,"провулок Кладовищенська, буд. 16 кв. 428, Судова Вишня, 71745",+380 39 901-79-30,ihnatlemeshko@example.com
Артимишин,Спас,Симонівна,Чоловік,1985.03.15,Провізор,селище Сіверськ,"парк Лінія 28-ма, буд. 723, Святогірськ, 85891",+380 09 882 21 78,hennadiifastenko@example.org
Єфименко,Альберт,Філаретівна,Чоловік,1968.06.30,Палеонтолог,місто Вінниця,"узвіз Ананьївська, буд. 183 кв. 584, Харцизьк, 98012",+380 (96) 313-65-38,ivanychukmaryna@example.org
Бабак,Опанас,Костянтинівна,Чоловік,1990.01.01,Електромонтажник,село Знам'янка,"сквер Пейзажна, буд. 551 кв. 842, Роздільна, 43879",023 904 51 39,terezachumak@example.org
Безбородьки,Мартин,Мстиславівна,Чоловік,2004.04.25,Кінорежисер,місто Луцьк,"шосе Прохоровський, буд. 067 кв. 04, Хоростків, 65240",+380 01 579-75-93,ivakhnii@example.org
Дзиндра,Оксана,Святославівна,Жінка,2005.11.09,Фармацевт,місто Рогатин,"провулок Кленова, буд. 666, Маріуполь, 43894",+380 (33) 042-86-25,kyrylo09@example.org
Хомик,Амалія,Ростиславівна,Жінка,2007.04.25,Журналіст,село Судак ,"вулиця Новгородська, буд. 93 кв. 49, Євпаторія, 96788",555 80 57,hermanvernyhora@example.net
Штепа,Ганна,Макарович,Жінка,1994.02.05,Піаніст,селище Бершадь,"площа Олександра Блока, буд. 36 кв. 647, Сарни, 48606",032 637 69 35,levkohaida@example.com
